,0
0,25.77
1,25.860001
2,25.709999
3,25.91
4,25.91
5,25.889999
6,25.66
7,26.1
8,26.17
9,25.67
10,25.780001000000002
11,25.98
12,25.969998999999998
13,26.030001000000002
14,26.139999
15,26.209999
16,26.25
17,26.200001
18,26.129998999999998
19,26.1
20,26.450001
21,26.799999
22,26.85
23,26.92
24,26.58
25,26.860001
26,26.93
27,27.27
28,27.370001000000002
29,27.200001
30,27.27
31,27.549999
32,27.32
33,27.639999
34,27.690001000000002
35,27.42
36,27.67
37,27.700001
38,27.389999
39,28.120001000000002
40,27.77
41,28.040001
42,28.33
43,28.5
44,27.450001
45,26.299999
46,26.1
47,26.379998999999998
48,26.23
49,26.25
50,26.17
51,26.219998999999998
52,26.559998999999998
53,26.610001
54,26.23
55,26.08
56,26.610001
57,26.620001000000002
58,26.549999
59,26.690001000000002
60,26.26
61,26.43
62,26.43
63,26.4
64,26.41
65,26.34
66,26.639999
67,26.049999
68,25.950001
69,25.93
70,25.190001000000002
71,25.24
72,25.389999
73,25.280001000000002
74,25.35
75,25.16
76,24.99
77,24.75
78,25.120001000000002
79,25.01
80,25.35
81,25.4
82,25.32
83,25.34
84,25.360001
85,24.950001
86,24.690001000000002
87,24.799999
88,24.52
89,24.200001
90,24.23
91,24.200001
92,24.209999
93,24.059998999999998
94,24.200001
95,24.33
96,24.610001
97,24.5
98,24.459999
99,24.309998999999998
100,24.610001
101,24.58
102,24.65
103,25.040001
104,25.0
105,24.969998999999998
106,24.84
107,24.92
108,25.030001000000002
109,25.25
110,25.139999
111,24.91
112,24.51
113,24.450001
114,24.26
115,24.219998999999998
116,24.17
117,24.219998999999998
118,24.59
119,24.59
120,24.68
121,24.629998999999998
122,24.24
123,24.059998999999998
124,23.91
125,23.809998999999998
126,23.65
127,23.59
128,23.549999
129,23.35
130,22.950001
131,23.139999
132,22.959999
133,22.940001000000002
134,22.82
135,22.17
136,22.25
137,21.969998999999998
138,21.49
139,20.4
140,21.52
141,21.34
142,21.93
143,22.01
144,22.129998999999998
145,22.25
146,21.780001000000002
147,22.459999
148,22.469998999999998
149,21.85
150,22.23
151,22.32
152,21.860001
153,21.799999
154,21.889999
155,21.4
156,21.98
157,21.91
158,21.620001000000002
159,21.450001
160,21.34
161,21.700001
162,22.389999
163,22.5
164,22.200001
165,22.860001
166,23.07
167,23.139999
168,22.940001000000002
169,22.299999
170,22.110001
171,22.34
172,22.540001
173,22.32
174,22.549999
175,22.129998999999998
176,21.870001000000002
177,21.75
178,21.17
179,20.74
180,20.139999
181,18.9
182,19.1
183,19.23
184,19.18
185,19.17
186,19.07
187,19.4
188,19.34
189,18.99
190,18.92
191,18.709999
192,18.799999
193,18.030001000000002
194,17.370001000000002
195,17.469998999999998
196,17.52
197,17.540001
198,17.219998999999998
199,17.1
200,17.110001
201,17.290001
202,17.43
203,17.879998999999998
204,17.85
205,18.299999
206,18.09
207,18.18
208,18.35
209,18.139999
210,17.91
211,17.84
212,17.969998999999998
213,19.08
214,18.799999
215,18.799999
216,18.780001000000002
217,18.379998999999998
218,18.67
219,18.25
220,18.74
221,19.209999
222,19.16
223,19.219998999999998
224,19.049999
225,19.030001000000002
226,19.15
227,19.309998999999998
228,19.440001000000002
229,19.32
230,19.27
231,19.41
232,19.18
233,19.0
234,19.01
235,18.66
236,18.52
237,18.059998999999998
238,17.65
239,17.780001000000002
240,17.49
241,17.25
242,17.379998999999998
243,17.459999
244,17.700001
245,18.190001000000002
246,19.09
247,19.290001
248,19.129998999999998
249,19.15
250,18.719998999999998
251,19.030001000000002
252,18.610001
253,19.0
254,19.1
255,19.280001000000002
256,19.639999
257,19.790001
258,19.5
259,19.27
260,19.469998999999998
261,19.5
262,19.74
263,19.85
264,19.440001000000002
265,19.389999
266,19.549999
267,19.309998999999998
268,19.48
269,19.77
270,20.110001
271,20.309998999999998
272,20.379998999999998
273,20.549999
274,20.74
275,20.690001000000002
276,20.52
277,20.73
278,20.030001000000002
279,20.299999
280,20.41
281,20.27
282,20.620001000000002
283,20.73
284,20.32
285,20.110001
286,20.07
287,20.030001000000002
288,20.08
289,19.99
290,19.4
291,19.059998999999998
292,19.129998999999998
293,18.99
294,19.07
295,19.32
296,19.48
297,19.450001
298,18.700001
299,18.879998999999998
300,18.84
301,19.17
302,19.33
303,18.92
304,17.959999
305,17.879998999999998
306,18.200001
307,18.379998999999998
308,18.32
309,18.59
310,18.49
311,18.43
312,18.42
313,18.459999
314,17.83
315,17.870001000000002
316,17.84
317,17.860001
318,17.139999
319,16.85
320,17.0
321,17.389999
322,18.18
323,18.1
324,18.17
325,18.23
326,18.379998999999998
327,18.18
328,18.16
329,18.09
330,17.85
331,17.77
332,17.49
333,17.309998999999998
334,17.290001
335,17.27
336,16.959999
337,16.84
338,16.790001
339,16.469998999999998
340,16.610001
341,16.43
342,16.540001
343,16.620001000000002
344,16.74
345,16.67
346,16.58
347,16.25
348,16.08
349,15.92
350,15.77
351,15.73
352,15.51
353,14.58
354,14.69
355,14.47
356,14.5
357,14.7
358,14.4
359,14.01
360,13.93
361,13.42
362,13.12
363,13.24
364,13.51
365,12.98
366,12.67
367,12.55
368,12.54
369,12.83
370,12.87
371,12.38
372,12.05
373,11.56
374,11.47
375,11.48
376,11.39
377,11.3
378,11.48
379,11.59
380,12.26
381,12.18
382,13.15
383,13.3
384,14.19
385,13.9
386,14.39
387,14.26
388,13.41
389,13.95
390,13.38
391,13.37
392,13.04
393,12.73
394,12.79
395,12.87
396,12.88
397,12.92
398,12.17
399,12.29
400,12.45
401,12.66
402,12.72
403,13.31
404,13.91
405,13.5
406,13.22
407,13.3
408,12.97
409,13.25
410,12.04
411,12.0
412,12.14
413,12.64
414,12.93
415,13.03
416,13.03
417,12.6
418,12.94
419,12.81
420,13.07
421,13.08
422,13.06
423,12.79
424,13.02
425,12.51
426,11.92
427,11.52
428,11.73
429,11.83
430,11.85
431,11.35
432,11.51
433,11.66
434,11.5
435,11.04
436,10.85
437,10.88
438,11.63
439,11.95
440,11.5
441,11.59
442,11.17
443,10.88
444,10.89
445,10.88
446,10.3
447,9.9
448,10.0
