Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,17.260000,17.340000,17.209999,17.270000,17.270000,77200
2019-04-02,17.200001,17.250000,17.139999,17.209999,17.209999,107600
2019-04-03,17.360001,17.400000,17.270000,17.309999,17.309999,66400
2019-04-04,17.090000,17.180000,17.070000,17.170000,17.170000,156200
2019-04-05,17.260000,17.330000,17.180000,17.280001,17.280001,50600
2019-04-08,17.090000,17.200001,17.090000,17.160000,17.160000,79400
2019-04-09,17.020000,17.030001,16.920000,16.930000,16.930000,152500
2019-04-10,17.170000,17.260000,17.080000,17.190001,17.190001,134900
2019-04-11,17.120001,17.120001,16.930000,17.040001,17.040001,70500
2019-04-12,17.129999,17.129999,16.959999,16.969999,16.969999,106900
2019-04-15,16.910000,16.990000,16.850000,16.940001,16.940001,152600
2019-04-16,16.770000,16.809999,16.740000,16.780001,16.780001,69600
2019-04-17,17.080000,17.100000,16.950001,17.010000,17.010000,91900
2019-04-18,16.930000,16.969999,16.870001,16.920000,16.920000,157700
2019-04-22,16.920000,17.190001,16.910000,17.180000,17.180000,57700
2019-04-23,16.959999,17.080000,16.959999,17.049999,17.049999,83100
2019-04-24,16.730000,16.730000,16.469999,16.490000,16.490000,98100
2019-04-25,16.520000,16.680000,16.510000,16.610001,16.610001,170800
2019-04-26,16.500000,16.500000,16.379999,16.459999,16.459999,69400
2019-04-29,16.330000,16.510000,16.280001,16.459999,16.459999,176100
