Date,Open,High,Low,Close,Adj Close,Volume
2019-03-01,174.279999,175.149994,172.889999,174.970001,174.298782,25886200
2019-03-04,175.690002,177.750000,173.970001,175.850006,175.175415,27436200
2019-03-05,175.940002,176.000000,174.539993,175.529999,174.856628,19737400
2019-03-06,174.669998,175.490005,173.940002,174.520004,173.850510,20810400
2019-03-07,173.869995,174.440002,172.020004,172.500000,171.838257,24760900
2019-03-08,170.320007,173.070007,169.500000,172.910004,172.246689,23999400
2019-03-11,175.490005,179.119995,175.350006,178.899994,178.213699,32011000
2019-03-12,180.000000,182.669998,179.369995,180.910004,180.215988,32467600
2019-03-13,182.250000,183.300003,180.919998,181.710007,181.012924,31032500
2019-03-14,183.899994,184.100006,182.559998,183.729996,183.025162,23579500
2019-03-15,184.850006,187.330002,183.740005,186.119995,185.406006,39042900
2019-03-18,185.800003,188.389999,185.789993,188.020004,187.298721,26219800
2019-03-19,188.350006,188.990005,185.919998,186.529999,185.814423,31646400
2019-03-20,186.229996,189.490005,184.729996,188.160004,187.438187,31035200
2019-03-21,190.020004,196.330002,189.809998,195.089996,194.341583,51034200
2019-03-22,195.339996,197.690002,190.779999,191.050003,190.317093,42407700
2019-03-25,191.509995,191.979996,186.600006,188.740005,188.015961,43845300
2019-03-26,191.660004,192.880005,184.580002,186.789993,186.073425,49800500
2019-03-27,188.750000,189.759995,186.550003,188.470001,187.746994,29848400
2019-03-28,188.949997,189.559998,187.529999,188.720001,187.996033,20780400
2019-03-29,189.830002,190.080002,188.539993,189.949997,189.221313,23564000
2019-04-01,191.639999,191.679993,188.380005,191.240005,190.506363,27862000
